"","","","","","","","","","","","","","","","","","","","",""
"Pour chacune de ces affirmations, sélectionnez l'option qui reflète le mieux votre ressenti à propos de cette unité d'enseignement","","","","","","","","","","","","J'ai eu des difficultés à comprendre les sujets suivants","","","","","","","Inscription à un ou des cours d'appui",""
"Les attentes et les objectifs sont clairement définis","Les contenus (supports, présentations, consignes, énoncés, etc.) sont pertinents et me permettent de travailler de façon autonome","Les présentations orales sont pertinentes et permettent de mieux comprendre la matière","Lorsque j’ai rencontré des difficultés, j’ai pu trouver des réponses à mes questions (grâce aux discussions en classe, aux supports de cours, etc.)","Je me sens capable de réaliser une petite application web avec PHP pour gérer une collection d'objets (visualisation, insertion, modification et suppression)","J'apprécie la durée courte des parties théoriques au début de chaque cours","Les mini-projets et les exercices sont pertinents et adaptés à mon niveau","L'unité d'enseignement est variée, motivante et permet de ne pas m'ennuyer","J'ai réalisé tous les mini-projets et exercices proposés","J'aurais plaisir à suivre une unité d'enseignement qui reprend la même méthode d'enseignement","J'ai particulièrement apprécié...","J'ai moins apprécié et je propose...","Introduction à PHP","Fonctions","Tableaux et boucles","Formulaires HTML et validation","Base de données et PDO","Sécurité et nettoyage des saisies utilisateurs","Programmation orientée objet","J'aimerais pouvoir avoir un ou des cours d'appui","Autres remarques et commentaires"
"Plutôt d'accord ★★★☆","Tout à fait d'accord ★★★★","Pas d'accord ★★☆☆","Tout à fait d'accord ★★★★","Plutôt d'accord ★★★☆","Tout à fait d'accord ★★★★","Plutôt d'accord ★★★☆","Plutôt d'accord ★★★☆","Pas d'accord ★★☆☆","Tout à fait d'accord ★★★★","La structure du cours : théorie courte -> mini-projet -> série
Le support de cours est particulièrement clair, et les questions précises sont expliquées clairement.
Les comparaison avec java sont particulièrement bienvenue","Il aurait été intéressant de ne pas donner tout le code du mini-projet mais de nous laisser le réalisé (peut-être par groupe) et de nous noter dessus pour ne pas être entièrement noté sur l'examen et qu'on se plonge un peu plus dans un programme complexe. Je penses que cela serait intéressant pour plus assimiler la matière","","","X","X","X","","","","Vous êtes un super prof et j'espère vraiment que vous resterez dans notre section parce que l'implication que vous avez est montre d'une haute qualité de cours ^^"
"Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Plutôt d'accord ★★★☆","Tout à fait d'accord ★★★★","Plutôt d'accord ★★★☆","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Plutôt d'accord ★★★☆","Plutôt d'accord ★★★☆","Tout à fait d'accord ★★★★","J'ai apprécié le support  du cours  sur Github.
Grâce à cela, les parties où la compréhension des différents  sujets  qui n'était pas clair, pouvais étre revue et mieux comprise.
","","","","","","X","X","","",""
"Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Pas d'accord ★★☆☆","Tout à fait d'accord ★★★★","La méthode d'enseignement et le support de cours hyper complet. Selon mon ressenti, c'est le premier cours où on sent un professeur vraiment investit et qui se donne autant, tant en cours que pour le support de cours. Je sais que c'est un support que je vais pouvoir garder et consulter à l'avenir. Merci beaucoup pour tout ça, c'est vraiment appréciable !","J'ai trouvé que le mini projet nous permettait de bien appréhender la matière au début, puis au fur et à mesure devenait plus difficile à vraiment comprendre ce que nous faisions. Les derniers cours, je n'ai pas réussi à finir le mini projet à temps et du coup j'ai fini par accumuler pas mal de retard au niveau des exercices (ce qui finalement n'est pas si étonnant, car c'est la même chose dans les autres cours). ","","","X","","X","","","X","Merci pour tout et je vais prier pour qu'on vous ait l'année prochaine (à tous les cours de prog si possible). Bel été !"
"Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Pas d'accord ★★☆☆","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Pas d'accord ★★☆☆","Tout à fait d'accord ★★★★","Le support de cours est super bien construit et les explications en classe ainsi que les réponses à mes différentes questions étaient d'une très grande aide, globalement super cours.","Mes facilités scolaires, surtout en programmation, m'ont incité à ne faire quasiment que le mini-projet et pas tellement les exercices. Je n'aime pas non plus le fait de n'avoir qu'une seule note en fin de cours.
J'aimerais ne pas avoir d'exercices mais avoir un support de cours moins fourni sur le projet et qu'il soit noté. De cette manière je serais motivé à travaillé pour le projet car il serait noté et qu'il me servirait en même temps d'entraînement pratique. De plus cela réglerait le problème de la note unique, puisqu'une partie de la note finale viendrait d'un examen théorique et l'autre du projet. Cela ferait donc d'une pierre 3 coups. C'est une peu le format que nous avons avec Xavier Good en DAI2, à part que le projet est en groupe dans cette branche.","","","X","X","X","","","X",""
"Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Plutôt d'accord ★★★☆","Tout à fait d'accord ★★★★","Plutôt d'accord ★★★☆","Plutôt d'accord ★★★☆","Plutôt d'accord ★★★☆","Tout à fait d'accord ★★★★","La manière dont vous prenez le temps de répondre aux questions et prenez le soin d'être sûrs qu'on a compris, c'est vraiment top. Et concernant la structure du cours, je n'ai rien à redire :).  ","Le fait qu'on soit trop autonome par rapport au mini-projet ne m'a pas forcément aidé, mais ce n'est peut-être que moi.... Il y a des choses que j'ai eu du mal à assimiler. ","","","","","X","X","","X",""
"Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Pas d'accord ★★☆☆","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Pas d'accord ★★☆☆","Tout à fait d'accord ★★★★","La réflexivité globale est top, le cours est de qualité, c'est l'enseignement dont je rêvais, et vous êtes l'enseignant que j'ai envie de devenir plus tard !","j'ai pris beaucoup de temps à effectuer le mini-projet lors de chaque cours, alors que je n'ai même pas vraiment essayé par moi-même les différentes étapes... mais je ne saurai pas vous dire de comment faire mieux, je sais qu'il y a des collègues qui réussissent à tout faire... je dirai peut-être qu'il y a beaucoup par séance mais ce n'est pas représentatif...","","","X","X","X","X","","X","Super pour le cours d'appui, ça serait super (même si actuellement je n'ai pas une vue assez globale pour savoir à quel point j'ai besoin d'aide)"
"Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Plutôt d'accord ★★★☆","Tout à fait d'accord ★★★★","Plutôt d'accord ★★★☆","Tout à fait d'accord ★★★★","Pas d'accord ★★☆☆","Tout à fait d'accord ★★★★","Je dois préciser que je ne viens pas du tout du domaine informatique et je n’y connaissais rien au codage.
La matière est bien transmise et claire. Vous êtes très patient et répondez bien aux questions.
J’ai vraiment beaucoup apprécié avoir des exercices avec des difficultés progressives, ainsi que plusieurs exercices similaires qui permettent de s’entraîner.
J’ai beaucoup aimé le fait que, si je me sens totalement bloquée, je peux rapidement avoir accès à la réponse et refaire l’exercice.
J’ai aimé les comparaisons, dans les slides, avec Java, car cela m’a aidée à mieux comprendre Java (oui votre cours a un double effet, il faudra penser à demander une augmentation).
Honnêtement, c’est le cours de codage qui m’a semblé le plus adapté pour une totale débutante comme moi, et qui m’a permis d’apprendre sans devoir passer des heures chez moi à chercher à comprendre, ou à devoir payer pour des cours de soutien.
J’ai aimé le projet ! Le thème était chouette et tout était très bien expliqué. Encore une fois, les solutions étaient immédiatement accessibles, ce qui permettait de gagner du temps et de ne pas devoir attendre une semaine en cas de blocage. 
La plateforme où tout était déposé était bien organisée.","Ma seule critique concerne la charge de travail à mi-parcours.
Au début, j’arrivais à finir le mini-projet et une partie des exercices en cours, et je terminais le reste à la maison, ce qui me semblait tout à fait convenable.
Cependant, à partir de la partie sur les formulaires HTML, cela n’a plus été possible. Le mini-projet me prenait tout le cours, ainsi qu’un temps supplémentaire en dehors des cours, et je devais donc finir à la fois le mini-projet et les exercices à la maison, ce qui faisait trop.
Mais encore une fois, je suis une totale débutante en programmation, donc c’est peut-être normal.

Ce que je proposerais : vous nous avez toujours conseillé de commencer par le mini-projet (il me semble), et je pense que si j’avais fait d’abord les exercices, j’aurais peut-être pu être plus efficace en réalisant le mini-projet.
Autrement, je ne vois pas d’autre solution, car j’imagine que vous avez un plan d’étude à respecter, il ne serait donc pas possible de rendre le rythme moins soutenu.","","X","","","X","","","X","Je rencontre de grosses difficultés en Java et je me demandais si vous donniez également des cours de Java (BaseProg) ? Si oui, avez-vous aussi un dépôt Git, comme celui du cours ProgServ1 mais qui concerne Java, que vous pourriez nous partager ?
Autrement, auriez-vous des conseils d’apprentissage pour s’exercer pas à pas au codage ? Ou des ressources ? Peut-être un livre, une plateforme ou un jeu ?

Tess (M53-2)"
"Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Plutôt d'accord ★★★☆","Tout à fait d'accord ★★★★","","","","","","","","","","",""
"Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Pas d'accord ★★☆☆","Tout à fait d'accord ★★★★","Plutôt d'accord ★★★☆","Plutôt d'accord ★★★☆","Pas d'accord ★★☆☆","Tout à fait d'accord ★★★★","Le support de cours très clair, et le temps que le prof prend pour nous expliquer ","Les solutions directement accessible, au début je faisais bien toute seule mais dès que j’ai commencé à avoir des soucis je me suis retourné vers les solutions et du coup j’ai choisis la facilité ","","","","X","X","X","","",""
"Plutôt d'accord ★★★☆","Plutôt d'accord ★★★☆","Plutôt d'accord ★★★☆","Tout à fait d'accord ★★★★","Plutôt d'accord ★★★☆","Tout à fait d'accord ★★★★","Pas d'accord ★★☆☆","Plutôt d'accord ★★★☆","Plutôt d'accord ★★★☆","Plutôt d'accord ★★★☆","Le mini projet ","Rien tout nickel ","","","","","X","X","","","Vous êtes cool 😎 "
"Plutôt d'accord ★★★☆","Plutôt d'accord ★★★☆","Pas d'accord ★★☆☆","Pas d'accord ★★☆☆","Pas d'accord ★★☆☆","Plutôt d'accord ★★★☆","Plutôt d'accord ★★★☆","Pas d'accord ★★☆☆","Pas d'accord ★★☆☆","Plutôt d'accord ★★★☆","","","","","","","X","X","X","X",""
"Plutôt d'accord ★★★☆","Tout à fait d'accord ★★★★","Plutôt d'accord ★★★☆","Plutôt d'accord ★★★☆","Pas d'accord ★★☆☆","Plutôt d'accord ★★★☆","Plutôt d'accord ★★★☆","Pas d'accord ★★☆☆","Plutôt d'accord ★★★☆","Plutôt d'accord ★★★☆","La mise a dispo des exercices et mini-projet","Un peu trop d'autonomie à mon goût","","","","","","X","","",""
"Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Plutôt d'accord ★★★☆","Plutôt d'accord ★★★☆","Tout à fait d'accord ★★★★","Plutôt d'accord ★★★☆","Plutôt d'accord ★★★☆","Tout à fait d'accord ★★★★","Les explications étaient claires et j'ai beaucoup apprécié le mini projet.","Pas vraiment de critiques.","","","","","","X","","",""
"Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Plutôt d'accord ★★★☆","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Plutôt d'accord ★★★☆","Tout à fait d'accord ★★★★","J'ai adoré le mélange entre théorie, exercices et pratique via le mini-projet. J'ai aimé également le fait que l'on soit traité comme des adultes et que si l'on désirait partir après la théorie, on n'était pas noté absent. ","Je ne vois rien à dire, tout m'a convenu. ","","","","","","","","","J'adore le fait que tout était disponible sur GitHub. J'espère que vous pourrez rester enseignant pour progserv2 :)"
"Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Plutôt d'accord ★★★☆","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Plutôt d'accord ★★★☆","Tout à fait d'accord ★★★★","","","","","","","X","X","","",""
"Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Plutôt d'accord ★★★☆","Tout à fait d'accord ★★★★","Plutôt d'accord ★★★☆","Tout à fait d'accord ★★★★","Plutôt d'accord ★★★☆","Tout à fait d'accord ★★★★","La structure du cours, la possibilité de le faire de manière autonome avec les exercices et le mini-projet. Toute la théorie est disponible. C'est formidable, il faudrait que tous les cours techniques suivent ce format. Malgré la difficulté et la nouveauté du contenu, on y va crescendo en commençant par les bases avant de voir le niveau s'élever, mais on se sent accompagnés.","gar nichts","","","","","X","X","","",""
"Plutôt d'accord ★★★☆","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Plutôt d'accord ★★★☆","Plutôt d'accord ★★★☆","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Pas d'accord ★★☆☆","Tout à fait d'accord ★★★★","L'importance mise dans la compréhension des réponses données à la suite de questions ","","","","","X","","X","","X","Un cours d'appui organisé uniquement en cas d'intérêt durant le semaine de révisions serait a mon sens super chouette "
"Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Plutôt d'accord ★★★☆","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Plutôt d'accord ★★★☆","Pas d'accord ★★☆☆","Tout à fait d'accord ★★★★","le cours est particulièrement bien structuré et très clair, on va droit au but","je n'ai rien à redire sur ce cours ","","","","","X","","","",""
"Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Plutôt d'accord ★★★☆","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Le mode d’enseignement en dualité avec mini-projet/exercices non noté (donc pas de pression) ainsi que vos capacités d’enseignants. Le fait qu’on soit aussi traité comme des adultes (horaires notamment) est grandement apprécié.","","","","","","","","","",""
"Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Pas d'accord ★★☆☆","Plutôt d'accord ★★★☆","Plutôt d'accord ★★★☆","Tout à fait d'accord ★★★★","Plutôt d'accord ★★★☆","Tout à fait d'accord ★★★★","","","","","","","X","X","","X",""
"Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Pas d'accord ★★☆☆","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Plutôt d'accord ★★★☆","Pas d'accord ★★☆☆","Tout à fait d'accord ★★★★","la manière dont vous enseignez ","","","","X","X","X","","","",""
"Tout à fait d'accord ★★★★","Plutôt d'accord ★★★☆","Tout à fait d'accord ★★★★","Plutôt d'accord ★★★☆","Pas d'accord ★★☆☆","Plutôt d'accord ★★★☆","Plutôt d'accord ★★★☆","Plutôt d'accord ★★★☆","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","La manière d’expliquer + le support de cours.","La difficulté du code, mais bon c’est plus de mon côté ça :’)","","","","X","X","X","","X",""
"Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Plutôt d'accord ★★★☆","Plutôt d'accord ★★★☆","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Plutôt d'accord ★★★☆","Pas d'accord ★★☆☆","Tout à fait d'accord ★★★★","Le fait de pouvoir travailler à la maison et la méthodologie, beaucoup plus clair que les cours de monsieurs hess qui sont parfois trop métaphoriques","L","","","","","","","","","C'était top 👍🏻"
"Plutôt d'accord ★★★☆","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Plutôt d'accord ★★★☆","Tout à fait d'accord ★★★★","Plutôt d'accord ★★★☆","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Le support de cours et la pertinence des exercices. C’était aussi agréable d’avoir des réponses à mes questions lorsque j’en ai eu ! ","De placer des tutorats durant le semestre. Étant donné que l’on se voit seulement toutes les deux semaines, il est parfois difficile de rester concerné et d’avoir les notions en tête. ","","","","","X","X","","X",""
"Tout à fait d'accord ★★★★","Plutôt d'accord ★★★☆","Pas d'accord ★★☆☆","Plutôt d'accord ★★★☆","Plutôt d'accord ★★★☆","Plutôt d'accord ★★★☆","Plutôt d'accord ★★★☆","Pas d'accord ★★☆☆","Pas d'accord ★★☆☆","Plutôt d'accord ★★★☆","","","","","X","","","X","X","",""
"Plutôt d'accord ★★★☆","Tout à fait d'accord ★★★★","Plutôt d'accord ★★★☆","Tout à fait d'accord ★★★★","Pas d'accord ★★☆☆","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Plutôt d'accord ★★★☆","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","J’ai particulièrement aimé votre manière de nous enseigner. Et j’aurais beaucoup aimé vous avoir au cours de BaseProg 1 et 2 pour pouvoir mieux nous aider a comprendre ces modules.","","","","","X","","","","",""
"Pas d'accord ★★☆☆","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Plutôt d'accord ★★★☆","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Plutôt d'accord ★★★☆","Tout à fait d'accord ★★★★","Le dynamisme et la sympa de l’enseignant ainsi, la qualité du support de cours et les réponses à mes questions.","Un peu dans le flou vis à vis du contenu et du niveau de l’examen.","","","","X","X","X","","",""
"Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Plutôt d'accord ★★★☆","Plutôt d'accord ★★★☆","Plutôt d'accord ★★★☆","Tout à fait d'accord ★★★★","Plutôt d'accord ★★★☆","Tout à fait d'accord ★★★★","La qualité des supports de cours. L’enseignement du prof, vous étiez là vraiment pour nous, savoir comment on avançait, si on avait besoin d’aide ou autre.","Il n’y a rien que je n’ai pas apprécié.
Mais peut être je proposerai juste après la partie théorique au début du cours, quelques minutes pour faire du live coding. Qu’on code du code tous ensemble pour mieux comprendre le fonctionnement de la partie théorique. ","","","","X","X","X","","",""
"Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Plutôt d'accord ★★★☆","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Plutôt d'accord ★★★☆","Tout à fait d'accord ★★★★","Le mini-projet qui permet de mettre aisément la théorie en pratique. Chaque partie ayant une correction, cela permet de s'assurer de la bonne tenue de son travail.","La manière de parler manque de dynamisme, mais cela n'est que mon avis.","","","","","","","","",""
